StopId,Latitude,Longitude,City
2240,41.765488,-87.615275,Chicago
2241,41.76359,-87.615292,Chicago
2242,41.761745,-87.615243,Chicago
2243,41.759982,-87.615212,Chicago
2244,41.758145,-87.615148,Chicago
2245,41.75623,-87.615133,Chicago
2246,41.754513,-87.615085,Chicago
2247,41.752662,-87.615037,Chicago
2248,41.751263,-87.615037,Chicago
17363,41.750532,-87.614973,Chicago
2249,41.749388,-87.614973,Chicago
2250,41.747123,-87.61491,Chicago
2251,41.745367,-87.614847,Chicago
2252,41.743475,-87.614752,Chicago
2253,41.741663,-87.614703,Chicago
2254,41.739883,-87.614655,Chicago
2255,41.737992,-87.614623,Chicago
2256,41.736195,-87.614577,Chicago
2257,41.734335,-87.614513,Chicago
2258,41.732483,-87.614465,Chicago
2259,41.730752,-87.614433,Chicago
2260,41.728883,-87.61437,Chicago
2262,41.725292,-87.614275,Chicago
2263,41.723352,-87.61421,Chicago
2237,41.77056,-87.615482,Chicago
2261,41.726762,-87.614322,Chicago
2222,41.79491,-87.616023,Chicago
2223,41.794155,-87.615992,Chicago
2235,41.773293,-87.615562,Chicago
2236,41.772657,-87.615547,Chicago
2207,41.822432,-87.617008,Chicago
2206,41.82352,-87.61704,Chicago
2192,41.85105,-87.61909,Chicago
1590,41.868891,-87.62424,Chicago
1592,41.865511,-87.624232,Chicago
1593,41.863837,-87.62419,Chicago
1595,41.859975,-87.624033,Chicago
1596,41.85763,-87.62405,Chicago
1598,41.854045,-87.623843,Chicago
1568,41.847378,-87.623542,Chicago
1588,41.872029,-87.624317,Chicago
18630,41.721534,-87.62067,Chicago
7529,41.72011,-87.620663,Chicago
7530,41.718338,-87.620617,Chicago
7531,41.716447,-87.620537,Chicago
1589,41.870345,-87.624273,Chicago
1587,41.87376,-87.624352,Chicago
1597,41.855253,-87.623858,Chicago
1100,41.894418,-87.624303,Chicago
1586,41.874772,-87.62438,Chicago
1103,41.889919,-87.624258,Chicago
1102,41.89122,-87.624296,Chicago
1110,41.878555,-87.624445,Chicago
1105,41.884987,-87.624489,Chicago
18396,41.88038,-87.624493,Chicago
1101,41.892724,-87.624333,Chicago
1591,41.866781,-87.624256,Chicago
1104,41.887009,-87.624634,Chicago
14488,41.895914,-87.624406,Chicago
73,41.876492,-87.624313,Chicago
1106,41.883478,-87.624567,Chicago
14799,41.893771,-87.619856,Chicago
7732,41.823775,-87.61944,Chicago
15999,41.720417,-87.62358,Chicago
2970,41.709238,-87.606057,Chicago
2962,41.69452,-87.609475,Chicago
2893,41.692715,-87.612303,Chicago
18241,41.685671,-87.612446,Chicago
1564,41.840607,-87.623207,Chicago
7629,41.831332,-87.611588,Chicago
7631,41.831142,-87.619202,Chicago
2528,41.831277,-87.616658,Chicago
2487,41.767897,-87.605548,Chicago
2265,41.721875,-87.61162,Chicago
2818,41.721795,-87.616753,Chicago
2817,41.721738,-87.619202,Chicago
2264,41.72166,-87.613527,Chicago
2461,41.721953,-87.606662,Chicago
2816,41.721732,-87.620918,Chicago
2266,41.721875,-87.60957,Chicago
2976,41.720365,-87.603467,Chicago
2975,41.718568,-87.603895,Chicago
2530,41.884868,-87.620534,Chicago
2972,41.712838,-87.605215,Chicago
2971,41.711265,-87.605597,Chicago
15033,41.707808,-87.606057,Chicago
2968,41.705495,-87.606915,Chicago
2967,41.703692,-87.607328,Chicago
2966,41.701823,-87.607742,Chicago
14553,41.700035,-87.608138,Chicago
2964,41.698112,-87.608568,Chicago
15157,41.696587,-87.60887,Chicago
17676,41.69309,-87.609713,Chicago
2524,41.831093,-87.610492,Chicago
2523,41.829035,-87.60941,Chicago
2522,41.827668,-87.608727,Chicago
15866,41.826285,-87.608012,Chicago
2518,41.821413,-87.606772,Chicago
2517,41.820437,-87.606772,Chicago
2516,41.818522,-87.606693,Chicago
2515,41.81671,-87.606645,Chicago
2514,41.81485,-87.606597,Chicago
2513,41.812973,-87.60655,Chicago
15932,41.811567,-87.60647,Chicago
14574,41.809755,-87.60647,Chicago
2510,41.80765,-87.606438,Chicago
2509,41.805782,-87.60639,Chicago
2508,41.803993,-87.606358,Chicago
2507,41.80254,-87.606312,Chicago
2505,41.800362,-87.606263,Chicago
2504,41.798518,-87.606232,Chicago
2503,41.796618,-87.606183,Chicago
15148,41.795307,-87.606152,Chicago
2501,41.793073,-87.606105,Chicago
15164,41.791532,-87.606091,Chicago
2499,41.789395,-87.606025,Chicago
2498,41.78763,-87.605977,Chicago
2497,41.785557,-87.60593,Chicago
2496,41.783975,-87.605898,Chicago
2495,41.781995,-87.60585,Chicago
17572,41.780821,-87.60584,Chicago
18007,41.778928,-87.605818,Chicago
18006,41.7771,-87.60577,Chicago
18005,41.77346,-87.605643,Chicago
2489,41.771465,-87.605643,Chicago
2488,41.76963,-87.605597,Chicago
14573,41.766108,-87.605437,Chicago
2484,41.762167,-87.605422,Chicago
2483,41.760355,-87.605373,Chicago
14572,41.758877,-87.605293,Chicago
2481,41.756715,-87.605247,Chicago
17103,41.755205,-87.605198,Chicago
2479,41.753075,-87.605167,Chicago
2478,41.751215,-87.605135,Chicago
2477,41.748935,-87.605087,Chicago
14952,41.748005,-87.605008,Chicago
2475,41.745763,-87.604992,Chicago
2474,41.74392,-87.604945,Chicago
2473,41.742028,-87.604897,Chicago
2472,41.74024,-87.604833,Chicago
2471,41.738428,-87.604785,Chicago
2470,41.736617,-87.604738,Chicago
2469,41.734788,-87.604673,Chicago
2468,41.73296,-87.604627,Chicago
2467,41.731108,-87.604578,Chicago
2466,41.729297,-87.604547,Chicago
2465,41.727462,-87.604483,Chicago
2464,41.725593,-87.604483,Chicago
2977,41.721732,-87.60318,Chicago
2462,41.722478,-87.604403,Chicago
2974,41.716487,-87.604403,Chicago
2973,41.714627,-87.604802,Chicago
2485,41.763383,-87.605468,Chicago
2506,41.801332,-87.606263,Chicago
2491,41.774883,-87.605707,Chicago
2519,41.822598,-87.606772,Chicago
2520,41.824258,-87.606963,Chicago
1563,41.838278,-87.621872,Chicago
1562,41.836467,-87.62184,Chicago
16119,41.834932,-87.621857,Chicago
1560,41.832985,-87.621792,Chicago
15314,41.831133,-87.621553,Chicago
14052,41.692588,-87.613273,Chicago
14051,41.690825,-87.613225,Chicago
14050,41.68898,-87.613193,Chicago
2527,41.83127,-87.615003,Chicago
1581,41.869098,-87.62397,Chicago
1579,41.866165,-87.624082,Chicago
18318,41.864365,-87.624045,Chicago
14760,41.860475,-87.62397,Chicago
1575,41.858193,-87.623858,Chicago
1573,41.854555,-87.623812,Chicago
1570,41.851367,-87.623668,Chicago
15313,41.84946,-87.623668,Chicago
1568,41.847378,-87.623542,Chicago
1567,41.845947,-87.623335,Chicago
1566,41.843722,-87.623287,Chicago
1565,41.841927,-87.623238,Chicago
1583,41.871728,-87.624018,Chicago
1582,41.870393,-87.623987,Chicago
1584,41.873444,-87.624107,Chicago
15312,41.853387,-87.623668,Chicago
1574,41.85577,-87.623858,Chicago
14485,41.87553,-87.624184,Chicago
76,41.878118,-87.624128,Chicago
1105,41.884987,-87.624489,Chicago
2188,41.882425,-87.624257,Chicago
15241,41.880424,-87.624336,Chicago
1580,41.867913,-87.623987,Chicago
1104,41.887009,-87.624634,Chicago
14482,41.884365,-87.623715,Chicago
15999,41.720417,-87.62358,Chicago
18154,41.88307,-87.627769,Chicago
14222,41.888107,-87.621309,Chicago
14224,41.888307,-87.623063,Chicago
2828,41.708983,-87.606232,Chicago
18241,41.685671,-87.612446,Chicago
1606,41.840455,-87.623557,Chicago
2535,41.831116,-87.610789,Chicago
7686,41.831028,-87.619496,Chicago
15520,41.83099,-87.621363,Chicago
7687,41.831045,-87.617554,Chicago
2533,41.831062,-87.616546,Chicago
2534,41.831087,-87.61406,Chicago
13037,41.78403,-87.61313,Chicago
13034,41.784117,-87.608362,Chicago
13036,41.784085,-87.61073,Chicago
3438,41.780224,-87.613373,Chicago
3441,41.780308,-87.608518,Chicago
3439,41.780248,-87.612166,Chicago
3440,41.780268,-87.610946,Chicago
2573,41.767618,-87.605692,Chicago
2978,41.722159,-87.604975,Chicago
2104,41.722057,-87.611572,Chicago
2980,41.721953,-87.616405,Chicago
2981,41.721913,-87.61882,Chicago
17754,41.722033,-87.614895,Chicago
2600,41.72216,-87.606693,Chicago
2979,41.722082,-87.609188,Chicago
2530,41.884868,-87.620534,Chicago
2826,41.713188,-87.605262,Chicago
2827,41.710843,-87.605803,Chicago
2829,41.70753,-87.606582,Chicago
2830,41.70528,-87.607058,Chicago
2831,41.70385,-87.607408,Chicago
2832,41.701942,-87.607822,Chicago
2833,41.700202,-87.60825,Chicago
2834,41.698183,-87.60868,Chicago
2835,41.696618,-87.609028,Chicago
2836,41.694265,-87.60957,Chicago
2837,41.69293,-87.609887,Chicago
2838,41.690848,-87.610317,Chicago
15156,41.688853,-87.610682,Chicago
2840,41.68732,-87.611143,Chicago
2841,41.685738,-87.611477,Chicago
2536,41.829123,-87.60968,Chicago
2537,41.827772,-87.608965,Chicago
2538,41.826127,-87.608092,Chicago
2542,41.821582,-87.606915,Chicago
