,hospital,latitude,longitude,City_x,City_y,City
169,"11402 Magnolia St,Garden Grove, CA 92841",33.796796,-117.974752,Anaheim,Anaheim,Anaheim
170,"100 E Valencia Mesa Dr Ste 311,Fullerton, CA 92835",33.89287,-117.92794,Anaheim,Anaheim,Anaheim
171,"301 W Bastanchury Rd Ste 220,Fullerton, CA 92835",33.894389,-117.932271,Anaheim,Anaheim,Anaheim
172,"130 W Bastanchury Rd,Fullerton, CA 92835",33.894856,-117.929957,Anaheim,Anaheim,Anaheim
173,"200 S Manchester Ave,Orange, CA 92868",33.78846,-117.893603,Anaheim,Anaheim,Anaheim
174,"101 The City Drive South  Pavilion 3 Building 29,Orange, CA 92868",33.787155,-117.888516,Anaheim,Anaheim,Anaheim
175,"101 The City Drive South Pavilion 1  Building 30,Orange, CA 92868",33.787155,-117.888516,Anaheim,Anaheim,Anaheim
176,"1501 W Commonwealth Ave,Fullerton, CA 92833",33.870468,-117.947676,Anaheim,Anaheim,Anaheim
177,"1401 S Brookhurst Rd Ste 100,Fullerton, CA 92833",33.857589,-117.959897,Anaheim,Anaheim,Anaheim
178,"1301 N Rose Dr,Placentia, CA 92870",33.887028,-117.843115,Anaheim,Anaheim,Anaheim
179,"17100 Euclid St,Fountain Valley, CA 92708",33.713866,-117.935431,Anaheim,Anaheim,Anaheim
180,"200 Hospital Cir,Westminster, CA 92683",33.757813,-118.002155,Anaheim,Anaheim,Anaheim
181,"1001 N Tustin Ave,Santa Ana, CA 92705",33.754747,-117.832777,Anaheim,Anaheim,Anaheim
182,"7901 Walker St,La Palma, CA 90623",33.84757,-118.03889,Anaheim,Anaheim,Anaheim
183,"1100 W Stewart Dr,Orange, CA 92868",33.782149,-117.864614,Anaheim,Anaheim,Anaheim
184,"1100 W Stewart Dr 1st Fl,Orange, CA 92868",33.782149,-117.864614,Anaheim,Anaheim,Anaheim
185,"1100 W Stewart Dr Bldg 1,Orange, CA 92868",33.782149,-117.864614,Anaheim,Anaheim,Anaheim
186,"4300 Rose Dr,Yorba Linda, CA 92886",33.898438,-117.841196,Anaheim,Anaheim,Anaheim
187,"5782 Ohio St,Yorba Linda, CA 92886",33.877227,-117.807811,Anaheim,Anaheim,Anaheim
188,"801 N. Tustin Ave   Santa Ana Ca,Santa Ana, CA 92705",33.752558,-117.833353,Anaheim,Anaheim,Anaheim
