,beaches,latitude,longitude,City_x,City_y,City
732,"14775 Midway Rd,Addison, TX 75001",32.949475,-96.840217,Fort Worth,Fort Worth,Fort Worth
828,"8229 Pecan Ridge Dr,North Richland Hills, TX 76182",32.902646,-97.204791,ArlingtonTX,ArlingtonTX,ArlingtonTX
829,"504 Berkshire Ct,Burleson, TX 76028",32.53319,-97.33381,ArlingtonTX,ArlingtonTX,ArlingtonTX
830,"111 N 3rd St,Midlothian, TX 76065",32.496566,-96.992184,ArlingtonTX,ArlingtonTX,ArlingtonTX
831,"900 E Glendale St,Crowley, TX 76036",32.580701,-97.343444,ArlingtonTX,ArlingtonTX,ArlingtonTX
832,"2804 Regal Rd,Plano, TX 75075",33.021247,-96.748403,ArlingtonTX,ArlingtonTX,ArlingtonTX
833,"14775 Midway Rd,Addison, TX 75001",32.949475,-96.840217,ArlingtonTX,ArlingtonTX,ArlingtonTX
834,"623 E Pearl St,Granbury, TX 76048",32.431482,-97.770156,ArlingtonTX,ArlingtonTX,ArlingtonTX
937,"2750 Sweden Point Rd,Marbury, MD 20658",38.551851,-77.184276,Washington,Washington,Washington
938,"1202 Triton Beach Rd,Edgewater, MD 21037",38.884885,-76.495391,Washington,Washington,Washington
939,"5419 Deale Churchton Rd Ste 202,Churchton, MD 20733",38.808528,-76.538821,Washington,Washington,Washington
940,"133 Lee Dr,Annapolis, MD 21403",38.934539,-76.489156,Washington,Washington,Washington
961,"2750 Sweden Point Rd,Marbury, MD 20658",38.551851,-77.184276,ArlingtonVA,ArlingtonVA,ArlingtonVA
962,"1202 Triton Beach Rd,Edgewater, MD 21037",38.884885,-76.495391,ArlingtonVA,ArlingtonVA,ArlingtonVA
963,"8916 Chesapeake Ave,North Beach, MD 20714",38.704869,-76.533557,ArlingtonVA,ArlingtonVA,ArlingtonVA
964,"300 Key Ave,Brooklyn, MD 21225",41.433533,-81.75184,ArlingtonVA,ArlingtonVA,ArlingtonVA
965,"5419 Deale Churchton Rd Ste 202,Churchton, MD 20733",38.808528,-76.538821,ArlingtonVA,ArlingtonVA,ArlingtonVA
966,"133 Lee Dr,Annapolis, MD 21403",38.934539,-76.489156,ArlingtonVA,ArlingtonVA,ArlingtonVA
967,"5300 Breezy Point Rd,Chesapeake Beach, MD 20732",38.617151,-76.513307,ArlingtonVA,ArlingtonVA,ArlingtonVA
968,"8550 Bayside Rd,Chesapeake Beach, MD 20732",38.700696,-76.536967,Washington,Washington,Washington
969,"1100 E College Pkwy,Annapolis, MD 21409",39.021188,-76.40703,Washington,Washington,Washington
970,"401 Brooke Rd,Fredericksburg, VA 22405",38.296804,-77.482857,Washington,Washington,Washington
