,shopping,latitude,longitude,City
121,"544 S Broadway,Los Angeles, CA 90013",34.04695,-118.25148,Los Angeles
122,"1401 N Main St,Los Angeles, CA 90012",34.064981,-118.231303,Los Angeles
123,"2310 Pasadena Ave Ste 108,Los Angeles, CA 90031",34.075728,-118.217309,Los Angeles
124,"1144 N Euclid St Apt 1,Anaheim, CA 92801",33.849109,-117.939794,Anaheim
125,"5759 E Santa Ana Canyon Rd,Anaheim, CA 92807",33.853153,-117.78834,Anaheim
126,"3430 W Lincoln Ave,Anaheim, CA 92801",33.831293,-118.009781,Anaheim
127,"5755 E La Palma Ave,Anaheim, CA 92807",33.860869,-117.787945,Anaheim
128,"1616 W Katella Ave,Anaheim, CA 92802",33.802068,-117.937721,Anaheim
129,"711 S Weir Canyon Rd,Anaheim, CA 92808",33.861533,-117.740015,Anaheim
130,"5765 E La Palma Ave,Anaheim, CA 92807",33.860396,-117.787728,Anaheim
131,"5745 E Santa Ana Canyon Rd,Anaheim, CA 92807",33.852092,-117.788409,Anaheim
132,"10500 Magnolia Ave,Anaheim, CA 92804",33.82415,-117.897707,Anaheim
133,"1500 S Euclid St,Anaheim, CA 92802",33.810353,-117.940875,Anaheim
134,"1021 N State College Blvd,Anaheim, CA 92806",33.848163,-117.890374,Anaheim
135,"1670 W Katella Ave,Anaheim, CA 92802",33.802031,-117.940187,Anaheim
136,"103 N Brookhurst St,Anaheim, CA 92801",33.832863,-117.959494,Anaheim
137,"2750 E Regal Park Dr,Anaheim, CA 92806",33.853093,-117.873256,Anaheim
138,"1086 N State College Blvd,Anaheim, CA 92806",33.848726,-117.88821,Anaheim
139,"1400 S Harbor Blvd,Fullerton, CA 92832",33.857342,-117.923391,Anaheim
140,"121 N Beach Blvd,Anaheim, CA 92801",33.833358,-117.994742,Anaheim
141,"586 N Euclid St,Anaheim, CA 92801",33.839416,-117.94014,Anaheim
142,"2270 E Lincoln Ave,Anaheim, CA 92806",33.83791,-117.884867,Anaheim
143,"275 S Euclid St,Anaheim, CA 92802",33.829184,-117.942719,Anaheim
144,"6509 E serrano ave,Anaheim, CA 92807",33.831713,-117.759743,Anaheim
145,"560 N Euclid St,Anaheim, CA 92801",33.839045,-117.941436,Anaheim
146,"4925 E Hunter Ave,Anaheim, CA 92807",33.864868,-117.809977,Anaheim
147,"130 W Lincoln Ave,Anaheim, CA 92805",33.835123,-117.914735,Anaheim
148,"722 N Anaheim Blvd,Anaheim, CA 92805",33.84293,-117.916137,Anaheim
149,"2030 E Lincoln Ave,Anaheim, CA 92806",33.837563,-117.888559,Anaheim
