StationId,Latitude,Longitude,City
34.03537,-118.43443,80135H,Los Angeles
34.031705,-118.452896,80136,Los Angeles
34.031705,-118.452896,80136S,Los Angeles
34.0318,-118.45251,80136A,Los Angeles
34.03173,-118.45274,80136B,Los Angeles
34.03179,-118.45242,80136C,Los Angeles
34.03164,-118.45331,80136D,Los Angeles
34.03177,-118.45243,80136E,Los Angeles
34.03164,-118.45325,80136F,Los Angeles
34.03161,-118.45345,80136G,Los Angeles
34.03168,-118.45312,80136H,Los Angeles
34.027995,-118.46912,80137,Los Angeles
34.027995,-118.46912,80137S,Los Angeles
34.02823,-118.46867,80137A,Los Angeles
34.02787,-118.4698,80137B,Los Angeles
34.02768,-118.46986,80137C,Los Angeles
34.023155,-118.480372,80138,Los Angeles
34.023155,-118.480372,80138S,Los Angeles
34.02363,-118.47982,80138A,Los Angeles
34.02264,-118.48103,80138B,Los Angeles
34.01401,-118.491384,80139,Los Angeles
34.01401,-118.491384,80139S,Los Angeles
34.01442,-118.49129,80139A,Los Angeles
34.01408,-118.49149,80139B,Los Angeles
34.01382,-118.49189,80139C,Los Angeles
34.01351,-118.49133,80139D,Los Angeles
34.01344,-118.49141,80139E,Los Angeles
33.76874,-118.189362,80153,Los Angeles
33.76874,-118.189362,80153S,Los Angeles
33.76827,-118.18941,80153A,Los Angeles
33.76915,-118.18938,80153B,Los Angeles
33.773598,-118.189412,80154,Los Angeles
33.773598,-118.189412,80154S,Los Angeles
33.77305,-118.18935,80154A,Los Angeles
33.77401,-118.18936,80154B,Los Angeles
34.168504,-118.376808,80201,Los Angeles
34.168504,-118.376808,80201S,Los Angeles
34.16906,-118.3768,80201A,Los Angeles
34.16879,-118.37651,80201B,Los Angeles
34.140002,-118.362699,80202,Los Angeles
34.140002,-118.362699,80202S,Los Angeles
34.13942,-118.36259,80202A,Los Angeles
34.13896,-118.36259,80202C,Los Angeles
34.1388,-118.36265,80202D,Los Angeles
34.101547,-118.338549,80203,Los Angeles
34.101547,-118.338549,80203S,Los Angeles
34.1017,-118.33927,80203A,Los Angeles
34.10163,-118.32518,80204,Los Angeles
34.10163,-118.32518,80204S,Los Angeles
34.10132,-118.32557,80204A,Los Angeles
34.10132,-118.32573,80204B,Los Angeles
34.101737,-118.308117,80205,Los Angeles
34.101737,-118.308117,80205S,Los Angeles
34.10158,-118.30858,80205A,Los Angeles
34.10153,-118.30899,80205B,Los Angeles
34.097708,-118.291756,80206,Los Angeles
34.097708,-118.291756,80206S,Los Angeles
34.09847,-118.29148,80206A,Los Angeles
34.09827,-118.29205,80206B,Los Angeles
34.08991,-118.29173,80207,Los Angeles
34.08991,-118.29173,80207S,Los Angeles
34.09032,-118.29191,80207A,Los Angeles
34.0906,-118.29203,80207B,Los Angeles
34.08936,-118.29198,80207C,Los Angeles
34.076526,-118.291686,80208,Los Angeles
34.076526,-118.291686,80208S,Los Angeles
34.0766,-118.29191,80208A,Los Angeles
34.062701,-118.290082,80209,Los Angeles
34.062701,-118.290082,80209S,Los Angeles
34.0625,-118.29028,80209A,Los Angeles
34.06245,-118.29092,80209B,Los Angeles
34.056368,-118.274879,80210,Los Angeles
34.056368,-118.274879,80210S,Los Angeles
34.0569,-118.275975,80210A,Los Angeles
34.056943,-118.276208,80210C,Los Angeles
34.048634,-118.258682,80211,Los Angeles
34.049316,-118.251259,80212,Los Angeles
34.049316,-118.251259,80212S,Los Angeles
34.0501,-118.24989,80212A,Los Angeles
34.04844,-118.25171,80212C,Los Angeles
34.04836,-118.25148,80212D,Los Angeles
34.0549,-118.246057,80213,Los Angeles
34.0549,-118.246057,80213S,Los Angeles
34.05522,-118.24545,80213B,Los Angeles
34.05554,-118.24516,80213C,Los Angeles
34.056197,-118.234249,80214,Los Angeles
34.056197,-118.234249,80214S,Los Angeles
34.05532,-118.23351,80214B,Los Angeles
34.0554,-118.23346,80214C,Los Angeles
34.061753,-118.301458,80215,Los Angeles
34.061753,-118.301458,80215S,Los Angeles
34.06157,-118.30098,80215A,Los Angeles
34.0614,-118.30091,80215B,Los Angeles
34.061689,-118.308756,80216,Los Angeles
34.061689,-118.308756,80216S,Los Angeles
34.06191,-118.30876,80216A,Los Angeles
34.06216,-118.30883,80216B,Los Angeles
33.89464,-118.369196,80301,Los Angeles
33.89464,-118.369196,80301S,Los Angeles
33.8948,-118.369417,80301A,Los Angeles
33.894967,-118.369617,80301B,Los Angeles
33.8944,-118.368917,80301C,Los Angeles
33.894233,-118.368667,80301D,Los Angeles
33.905299,-118.383113,80302,Los Angeles
33.905299,-118.383113,80302S,Los Angeles
33.9055,-118.383417,80302A,Los Angeles
33.905067,-118.382917,80302B,Los Angeles
33.916063,-118.386539,80303,Los Angeles
33.916063,-118.386539,80303S,Los Angeles
33.916649,-118.387239,80303A,Los Angeles
33.915883,-118.3863,80303B,Los Angeles
33.915733,-118.386117,80303C,Los Angeles
33.9232,-118.387572,80304,Los Angeles
33.9232,-118.387572,80304S,Los Angeles
33.923367,-118.387532,80304A,Los Angeles
33.923083,-118.387539,80304B,Los Angeles
33.929621,-118.377134,80305,Los Angeles
33.929621,-118.377134,80305S,Los Angeles
33.929683,-118.377133,80305A,Los Angeles
33.929617,-118.37655,80305B,Los Angeles
33.929633,-118.377633,80305C,Los Angeles
33.933408,-118.351602,80306,Los Angeles
33.933408,-118.351602,80306S,Los Angeles
33.933567,-118.352317,80306A,Los Angeles
33.933579,-118.352886,80306B,Los Angeles
33.925201,-118.32655,80307,Los Angeles
33.925201,-118.32655,80307S,Los Angeles
33.925233,-118.3261,80307A,Los Angeles
33.925183,-118.326967,80307B,Los Angeles
33.928683,-118.291733,80308,Los Angeles
33.928683,-118.291733,80308S,Los Angeles
33.928683,-118.291487,80308A,Los Angeles
33.928683,-118.292017,80308B,Los Angeles
33.928714,-118.2811,80309,Los Angeles
33.928714,-118.2811,80309S,Los Angeles
33.9287,-118.2807,80309A,Los Angeles
33.9287,-118.28155,80309B,Los Angeles
33.927465,-118.265217,80310,Los Angeles
33.927465,-118.265217,80310S,Los Angeles
33.927467,-118.26485,80310A,Los Angeles
33.927467,-118.26555,80310B,Los Angeles
33.928258,-118.238052,80311,Los Angeles
33.928233,-118.237517,80311A,Los Angeles
33.9283,-118.2385,80311B,Los Angeles
33.928333,-118.239417,80311C,Los Angeles
33.92488,-118.209945,80312,Los Angeles
33.92488,-118.209945,80312S,Los Angeles
33.924717,-118.2095,80312A,Los Angeles
33.9251,-118.2104,80312B,Los Angeles
33.91307,-118.1406,80313,Los Angeles
33.91307,-118.1406,80313S,Los Angeles
33.913046,-118.140432,80313A,Los Angeles
33.913033,-118.140867,80313B,Los Angeles
33.914033,-118.104717,80314,Los Angeles
33.914033,-118.104717,80314S,Los Angeles
33.913867,-118.104,80314A,Los Angeles
33.913583,-118.105567,80314B,Los Angeles
34.033398,-118.154469,80401,Los Angeles
34.033398,-118.154469,80401S,Los Angeles
34.03337,-118.15295,80401A,Los Angeles
34.03342,-118.15531,80401B,Los Angeles
34.033364,-118.161206,80402,Los Angeles
34.033364,-118.161206,80402S,Los Angeles
34.03339,-118.16026,80402A,Los Angeles
34.03338,-118.1619,80402B,Los Angeles
34.033319,-118.16814,80403,Los Angeles
34.033319,-118.16814,80403S,Los Angeles
34.0333,-118.16891,80403A,Los Angeles
34.03333,-118.1671,80403B,Los Angeles
34.0343,-118.192182,80404,Los Angeles
34.0343,-118.192182,80404S,Los Angeles
34.0336,-118.19218,80404A,Los Angeles
34.03491,-118.19218,80404B,Los Angeles
34.043747,-118.210061,80405,Los Angeles
34.043747,-118.210061,80405S,Los Angeles
34.04364,-118.21019,80405A,Los Angeles
34.047215,-118.219648,80406,Los Angeles
34.047215,-118.219648,80406S,Los Angeles
34.04744,-118.21924,80406A,Los Angeles
