,Norm Price,Housing Price/SQ Ft,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
42,0.2910794695794774,299.4117647058824,1802598.908569412,1831451.329051769,1831961.44348499,1831797.85093028,1826053.900822788,1830897.162965737,1823917.6753924058,1831231.8714914047,1827639.5671577547,18306.707654341404
43,0.1078111265444904,125.3259779338014,1800107.9209092623,1828939.869825969,1829449.4448504956,1829286.7660726989,1823544.055946252,1828385.9292165446,1821389.1153358733,1828720.639577664,1825119.0774319763,18281.584341834103
44,0.0478695884898903,68.38777660695469,1799912.2367365048,1828757.0925472751,1829267.013650541,1829103.748829868,1823360.2445939968,1828203.0073495142,1821217.467544012,1828537.7165530103,1824942.1358614145,18279.762164550462
45,0.147321959308103,162.85714285714286,1800605.6974374792,1829458.5261233954,1829968.658260459,1829805.0359252412,1824061.0471322704,1828904.3527487786,1821925.6179012253,1829239.0612126128,1825647.10989941,18286.779913235347
46,0.0998647791651837,117.77777777777776,1800535.9803684852,1829388.798267972,1829898.9303536452,1829735.3081127491,1823991.3195039516,1828834.6249184783,1821855.8945834339,1829169.333382537,1825577.3828319528,18286.082633911567
47,0.3221071557986341,328.8848263254113,1801575.1320360163,1830435.9014907242,1830946.2428886099,1830782.2659612645,1825037.796756417,1829881.640690622,1822909.6304119397,1830216.3483958887,1826627.9902253728,18296.557052097127
48,0.0258095414674712,47.43303571428572,1799868.5871086407,1828705.3048159606,1829215.008271705,1829052.112044892,1823309.1072727176,1828151.310549981,1821158.6947665538,1828486.020489504,1824886.6817427534,18279.240768018142
49,0.1331245315786607,149.37106918238993,1799907.5261277517,1828758.638590216,1829268.7271680366,1829105.1786892065,1823361.290413568,1828204.4834431598,1821224.3931040962,1828539.1920620564,1824946.5046820263,18279.78033383992
50,0.3474324136058561,352.94117647058823,1801033.3304316492,1829890.162954852,1830400.4008085856,1830236.5993495623,1824492.3678732142,1829335.9454137718,1822360.6130415024,1829670.653497528,1826080.5187612986,18291.097991623643
51,0.3041402917714053,311.8181818181818,1801414.6319510303,1830276.377628571,1830786.7457049892,1830622.723596816,1824878.1934389183,1829722.1056993648,1822750.9780407264,1830056.8133063065,1826468.920009937,18294.96224538827
52,0.1624979269658419,177.27272727272728,1799734.992582928,1828568.784525448,1829078.4101412077,1828915.6457379584,1823172.8197967613,1828014.822793347,1821019.6872647242,1828349.5329896552,1824748.8532366238,18277.874306906077
54,0.0888618859240928,107.32617825478302,1801060.8620901005,1829903.2047962109,1830413.0547272714,1830249.9103241065,1824506.568266699,1829349.1492695918,1822361.1922140918,1829683.8587160797,1826087.021478715,18291.222135060143
55,0.0715788414487573,90.9090909090909,1800319.042525304,1829159.6912657777,1829669.4983879556,1829506.4265604531,1823763.1834358573,1828605.6536626,1821616.3698377241,1828940.36325466,1825342.8041877756,18283.78630819487
57,0.1893848539000061,202.8125,1800274.1421221613,1829128.6408614684,1829638.8188293164,1829475.1188950608,1823731.0253742314,1828574.448365967,1821597.2343831428,1828909.15666611,1825318.0050944327,18283.48180239687
