hospital,grocery,gym,parks,beaches,cemetary,shopping,resturant,golf
"1014 1/2 N Vermont Ave,Los Angeles, CA 90029","5702 York Blvd,Los Angeles, CA 90042","1354 Margo St,Los Angeles, CA 90015","4371 Multnomah St,Los Angeles, CA 90032",,,"121 W Ann St,Los Angeles, CA 90012","8570 W 3rd St,Los Angeles, CA 90048","3680 Wilshire Blvd,Los Angeles, CA 90010"
"1515 N Vermont Ave,Los Angeles, CA 90027","10817 Venice Blvd,Los Angeles, CA 90034","4228 Melrose Ave,Los Angeles, CA 90029","2700 S Budlong Ave,Los Angeles, CA 90007",,,"310 S Berendo St,Los Angeles, CA 90020","11500 Santa Monica Blvd,Los Angeles, CA 90025","590 S Burlingame Ave,Los Angeles, CA 90049"
"4867 W Sunset Blvd,Los Angeles, CA 90027","3824 Beverly Blvd,Los Angeles, CA 90004","3959 Wilshire Blvd,Los Angeles, CA 90010","701 State Dr,Los Angeles, CA 90037",,,"304 N Vermont Ave,Los Angeles, CA 90004","2960 N Beverly Glen Cir,Los Angeles, CA 90077","1048 S Western Ave,Los Angeles, CA 90006"
"1526 N Edgemont St,Los Angeles, CA 90027","4910 Huntington Dr S,Los Angeles, CA 90032","5870 W Olympic Blvd,Los Angeles, CA 90036","4043 W Sunset Blvd,Los Angeles, CA 90029",,,"3500 W 6th St,Los Angeles, CA 90020","1911 W Sunset Blvd,Los Angeles, CA 90026","12121 Wilshire Blvd Ste 1200,Los Angeles, CA 90025"
"4027 W Pico Blvd,Los Angeles, CA 90019","310 S Berendo St,Los Angeles, CA 90020","5606 Glenford St,Los Angeles, CA 90008","1546 Knowles Ave,Los Angeles, CA 90063",,,"8489 W 3rd St,Los Angeles, CA 90048","9575 W Pico Blvd,Los Angeles, CA 90035","2520 W 8th St Ste 107,Los Angeles, CA 90057"
"1870 N Vermont Ave,Los Angeles, CA 90027","3732 W 3rd St,Los Angeles, CA 90020","3485 S La Cienega Blvd,Los Angeles, CA 90016","4700 Honduras St,Los Angeles, CA 90011",,,"6298 W 3rd St,Los Angeles, CA 90036","648 New High St,Los Angeles, CA 90012","2240 S Sepulveda Blvd,Los Angeles, CA 90064"
"4700 W Pico Blvd Ste G-H,Los Angeles, CA 90019","4312 Wall St,Los Angeles, CA 90011","1101 S Robertson Blvd Ste 103,Los Angeles, CA 90035","1110 S Western Ave,Los Angeles, CA 90006",,,"2377 W Pico Blvd,Los Angeles, CA 90006","6115 Santa Monica Blvd,Los Angeles, CA 90038","745 S Oxford Ave,Los Angeles, CA 90005"
"1715 N Cahuenga Blvd,Los Angeles, CA 90028","4757 Melrose Ave,Los Angeles, CA 90029","1499 S Robertson Blvd,Los Angeles, CA 90035","4545 Homer St,Los Angeles, CA 90031",,,"3461 W 3rd St,Los Angeles, CA 90020","6801 Hollywood Blvd Ste 90028,Los Angeles, CA 90028","2867 W Olympic Blvd,Los Angeles, CA 90006Los Angeles, CA 90034"
"10901 South Vermont Avenue Mary B. Henry Building,Los Angeles, CA 90044","1815 N Cahuenga Blvd,Los Angeles, CA 90028","116 N Robertson Blvd,Los Angeles, CA 90048","3980 Bill Robertson Ln,Los Angeles, CA 90037",,,"3600 E Cesar E Chavez Ave,Los Angeles, CA 90063","9301 W Pico Blvd,Los Angeles, CA 90035","4867 Lincoln Ave,Los Angeles, CA 90042"
"8522 Beverly Blvd,Los Angeles, CA 90048","10425 S Normandie Ave,Los Angeles, CA 90044","10401 Venice Blvd,Los Angeles, CA 90034","4021 E 1st St,Los Angeles, CA 90063",,,"4901 Santa Monica Blvd,Los Angeles, CA 90029","12181 Bluff Creek Dr Ste A,Los Angeles, CA 90094","3320 S Hill St,Los Angeles, CA 90007"
"998 S Robertson Blvd,Los Angeles, CA 90035","11507 S Western Ave,Los Angeles, CA 90047","10220 Constellation Blvd,Los Angeles, CA 90067","4702 N Figueroa St,Los Angeles, CA 90042",,,"3975 Wilshire Blvd,Los Angeles, CA 90010","1386 Westwood Blvd,Los Angeles, CA 90024","4007 W Pico Blvd,Los Angeles, CA 90019"
"2741 S Robertson Blvd,Los Angeles, CA 90034","2600 S Vermont Ave,Los Angeles, CA 90007","6100 Center Dr,Los Angeles, CA 90045","4700 Griffin Ave,Los Angeles, CA 90031",,,"4910 Huntington Dr S,Los Angeles, CA 90032","10974 Le Conte Ave,Los Angeles, CA 90024","4301 Melrose Ave,Los Angeles, CA 90029"
"1399 Roxbury Dr Ste 100,Los Angeles, CA 90035","670 S Western Ave,Los Angeles, CA 90005","10524 W Pico Blvd,Los Angeles, CA 90064","3606 S Avenue 49,Los Angeles, CA 90042",,,"5429 Hollywood Blvd,Los Angeles, CA 90027","11907 W Olympic Blvd,Los Angeles, CA 90064","13621 S Main St,Los Angeles, CA 90061"
"2080 Century Park E Ste 101,Los Angeles, CA 90067","5100 N Figueroa St,Los Angeles, CA 90042","10250 Santa Monica Blvd,Los Angeles, CA 90067","4800 S Hoover St,Los Angeles, CA 90037",,,"1820 W Slauson Ave,Los Angeles, CA 90047","1303 Westwood Blvd,Los Angeles, CA 90024","216 S Spring St,Los Angeles, CA 90012"
"10431 Santa Monica Blvd,Los Angeles, CA 90025","5429 Hollywood Blvd,Los Angeles, CA 90027","2920 S Sepulveda Blvd,Los Angeles, CA 90064","4900 Beverly Blvd,Los Angeles, CA 90004",,,"7311 N Figueroa St,Los Angeles, CA 90041","2620 N Broadway,Los Angeles, CA 90031","9835 S Western Ave,Los Angeles, CA 90047"
