"5601 W Olympic Blvd, Unit 303, Los Angeles, CA 90036",859999,Los Angeles,1140,34.057594,-118.351637
"10615 Esther Ave, Los Angeles, CA 90064",2995000,Los Angeles,2877,34.040079,-118.421089
"7540 W 91st St, Los Angeles, CA 90045",1449990,Los Angeles,1721,33.954936,-118.42826
"3412 E 3rd St, Los Angeles, CA 90063",1300000,Los Angeles,3024,34.034454,-118.196096
"1925 S Rimpau Blvd, Los Angeles, CA 90016",1599900,Los Angeles,2880,34.039067,-118.343999
"1503 E 109th St, Los Angeles, CA 90059",649999,Los Angeles,2389,33.937117,-118.248094
"7100 Alvern St, Apt 201, Los Angeles, CA 90045",729000,Los Angeles,1170,33.974505,-118.377587
"267 S San Pedro St, Unit 619, Los Angeles, CA 90012",589000,Los Angeles,1477,34.048012,-118.242971
"2939 Leeward Ave, Apt 516, Los Angeles, CA 90005",880000,Los Angeles,1260,34.058862,-118.287867
"2661 S Harcourt Ave, Los Angeles, CA 90016",1130000,Los Angeles,1820,34.031055,-118.34741
"3928 Degnan Blvd, Los Angeles, CA 90008",1279000,Los Angeles,1475,34.013681,-118.330232
"242 E 124th St, Los Angeles, CA 90061",575000,Los Angeles,1193,33.919847,-118.270551
"4125 Mckinley Ave, Los Angeles, CA 90011",815000,Los Angeles,1376,34.008433,-118.261454
"889 Francisco St, Unit 2402, Los Angeles, CA 90017",599000,Los Angeles,730,34.047687,-118.264684
"6250 Hollywood Blvd, Unit 8C, Los Angeles, CA 90028",849995,Los Angeles,1270,34.10063,-118.325867
"3600 Mandeville Canyon Rd, Los Angeles, CA 90049",4295000,Los Angeles,4943,34.1146,-118.500537
"210 Belmont Ave, Los Angeles, CA 90026",1575000,Los Angeles,3606,34.064795,-118.262739
"9133 Oriole Way, Los Angeles, CA 90069",22900000,Los Angeles,,34.096877,-118.389381
"2320 S Bentley Ave, Apt 203, Los Angeles, CA 90064",649000,Los Angeles,1044,34.038825,-118.435038
"146 S Gardner St, Los Angeles, CA 90036",1799000,Los Angeles,1635,34.072151,-118.352902
"10110 Empyrean Way, Apt 204, Los Angeles, CA 90067",4250000,Los Angeles,2370,34.053242,-118.40811
"219 S Ave, 60, Los Angeles, CA 90042",1299000,Los Angeles,1677,34.110054,-118.187789
"212 E 62nd St, Los Angeles, CA 90003",579000,Los Angeles,1996,33.983085,-118.271215
"525 S La Fayette Park Pl, Unit 310, Los Angeles, CA 90057",545000,Los Angeles,1046,34.064039,-118.283213
"5637 W Jefferson Blvd, Los Angeles, CA 90016",2295000,Los Angeles,3788,34.02671,-118.369932
"312 W 5th St, Apt M6, Los Angeles, CA 90013",449000,Los Angeles,780,34.048033,-118.251248
"5130 Inadale Ave, Los Angeles, CA 90043",1499000,Los Angeles,1821,33.995817,-118.350089
"2030 N Commonwealth Ave, Los Angeles, CA 90027",1900000,Los Angeles,2940,34.108631,-118.284916
"625 E 79th St, Los Angeles, CA 90001",549000,Los Angeles,1838,33.967701,-118.264104
"734 E 83rd St, Los Angeles, CA 90001",620000,Los Angeles,1112,33.963514,-118.261716
"1416 Pandora Ave, Los Angeles, CA 90024",2750000,Los Angeles,2146,34.061441,-118.426189
"4661 Wilshire Blvd, Unit 205, Los Angeles, CA 90010",1099000,Los Angeles,1460,34.062237,-118.331017
"1693 E 110th St, Los Angeles, CA 90059",510000,Los Angeles,1482,33.93613,-118.242822
"676 S Rampart Blvd, Los Angeles, CA 90057",5700000,Los Angeles,17680,34.059783,-118.282716
"5607 Virginia Ave, Los Angeles, CA 90038",4400000,Los Angeles,11303,34.09208,-118.311252
"831 N Beverly Glen Blvd, Los Angeles, CA 90077",1500000,Los Angeles,,34.090534,-118.438372
"610 N Spaulding Ave, Los Angeles, CA 90036",2495000,Los Angeles,3738,34.082231,-118.357065
"840 W Imperial Hwy, Los Angeles, CA 90044",3750000,Los Angeles,11172,33.930663,-118.290751
"2001 Roscomare Rd, Los Angeles, CA 90077",4999950,Los Angeles,4684,34.106151,-118.464076
"138 E 78th St, Los Angeles, CA 90003",559000,Los Angeles,1150,33.968505,-118.272458
"1335 S Sycamore Ave, Los Angeles, CA 90019",1559000,Los Angeles,3044,34.048631,-118.348172
"1107 W 110th St, Los Angeles, CA 90044",545000,Los Angeles,726,33.935745,-118.294538
"10316 Kimberly St, Los Angeles, CA 90002",650000,Los Angeles,1455,33.942648,-118.240177
"1425 N Detroit St, Apt 404, Los Angeles, CA 90046",899000,Los Angeles,1420,34.096908,-118.34551
"6250 Hollywood Blvd, Unit 5C, Los Angeles, CA 90028",725000,Los Angeles,1270,34.10063,-118.325867
"2067 W 67th St, Los Angeles, CA 90047",629000,Los Angeles,863,33.9787,-118.315562
"7403 S Harvard Blvd, Los Angeles, CA 90047",799000,Los Angeles,1499,33.97262,-118.30711
"40936 176th St E, Lake, Los Angeles, CA 93535",399900,Los Angeles,1563,34.625854,-117.81644
"5705 Monte Vista St, Los Angeles, CA 90042",1550000,Los Angeles,3103,34.111922,-118.194222
"1175 Carmona Ave, Los Angeles, CA 90019",1200000,Los Angeles,1097,34.053781,-118.355927
"529 W 74th St, Los Angeles, CA 90044",875000,Los Angeles,3461,33.972964,-118.283728
"1575 W 50th St, Los Angeles, CA 90062",640000,Los Angeles,1918,33.998503,-118.305985
"2215 Wellesley Ave, Los Angeles, CA 90064",2999999,Los Angeles,2107,34.030495,-118.454849
"1806 Mozart St, Los Angeles, CA 90031",728888,Los Angeles,1387,34.068128,-118.21992
"1640 E 49th St, Los Angeles, CA 90011",875000,Los Angeles,3068,33.998343,-118.244681
"8278 Sweetzer Ct, Los Angeles, CA 90048",2149000,Los Angeles,2069,34.080555,-118.369851
"1326 S Woods Ave, East, Los Angeles, CA 90022",888000,Los Angeles,1693,34.013453,-118.160106
"1135 Rexford Dr, Apt 404, Los Angeles, CA 90035",1075000,Los Angeles,1408,34.055981,-118.394155
"12318 19th Helena Dr, Los Angeles, CA 90049",8800000,Los Angeles,7401,34.058679,-118.480072
"130 N Westmoreland Ave, Los Angeles, CA 90004",5360000,Los Angeles,18013,34.074497,-118.287567
"5215 Barker Dr, Los Angeles, CA 90042",649000,Los Angeles,,34.126654,-118.19946
"1226 S Bedford St, Unit 502, Los Angeles, CA 90035",1550000,Los Angeles,1595,34.054852,-118.380398
"10453 Sandall Ln, Los Angeles, CA 90077",695000,Los Angeles,,34.09888,-118.444175
"1952 Fox Hills Dr, Los Angeles, CA 90025",2495000,Los Angeles,5226,34.056144,-118.41924
"8414 Kirkwood Dr, Los Angeles, CA 90046",1199000,Los Angeles,1204,34.103519,-118.373772
"512 N Gower St, Los Angeles, CA 90004",2599000,Los Angeles,2000,34.079379,-118.322412
"2741 S Rimpau Blvd, Los Angeles, CA 90016",1299000,Los Angeles,3578,34.030017,-118.349452
"877 Francisco St, Apt 605, Los Angeles, CA 90017",510000,Los Angeles,518,34.04839,-118.26387
"1025 W 54th St, Los Angeles, CA 90037",1095000,Los Angeles,1600,33.993474,-118.292519
"4519 Lexington Ave, Los Angeles, CA 90029",850000,Los Angeles,972,34.093682,-118.287286
"2559 N Riverside Ter, Los Angeles, CA 90039",199000,Los Angeles,,34.101,-118.251502
"Loma Vista Pl, Los Angeles, CA 90039",125000,Los Angeles,,34.095641,-118.256831
"1830 Westholme Ave, Apt 302, Los Angeles, CA 90025",1075000,Los Angeles,1477,34.053688,-118.427549
"Earl Ct, Los Angeles, CA 90039",225000,Los Angeles,,34.095676,-118.255596
"2166 Vine St N, County, Los Angeles, CA 90068",1995000,Los Angeles,2128,34.110197,-118.326496
"315 E 8th St, Apt 401, Los Angeles, CA 90014",849995,Los Angeles,1370,34.041155,-118.251098
"5025 Maplewood Ave, Apt 10, Los Angeles, CA 90004",699000,Los Angeles,1311,34.080597,-118.31209
"222 S Gramercy Pl, Los Angeles, CA 90004",3850000,Los Angeles,4705,34.070404,-118.312474
"1110 N Ardmore Ave, Los Angeles, CA 90029",927000,Los Angeles,996,34.091266,-118.301026
"3409 Oak Glen Dr, Los Angeles, CA 90068",2745000,Los Angeles,2168,34.130875,-118.353315
"800 Lorraine Blvd, Los Angeles, CA 90005",1497000,Los Angeles,,34.059205,-118.321359
"840 W 74th St, Los Angeles, CA 90044",539000,Los Angeles,1155,33.972395,-118.28853
"7716 Crenshaw Blvd, Los Angeles, CA 90043",365000,Los Angeles,671,33.969342,-118.330297
"663 W 68th St, Los Angeles, CA 90044",455000,Los Angeles,648,33.978427,-118.285208
"3729 Delmas Ter, Los Angeles, CA 90034",5950000,Los Angeles,6930,34.025256,-118.399308
"1036 S Serrano Ave, Unit 101, Los Angeles, CA 90006",785000,Los Angeles,1430,34.051429,-118.305994
"3250 Selby Ave, Los Angeles, CA 90034",2200000,Los Angeles,2794,34.028655,-118.416256
"4200 Via, Arbolada Unit 314, Los Angeles, CA 90042",711000,Los Angeles,1078,34.096781,-118.185542
"8727 S Harvard Blvd, Los Angeles, CA 90047",775000,Los Angeles,1157,33.958101,-118.307139
"5726 Holmes Ave, Los Angeles, CA 90058",675000,Los Angeles,1526,33.990446,-118.240788
